Rank,District,Grades,# Elementary Schools,# Middle Schools,# High Schools,# Alt. Schools,City,County,Rank score (2022),Rank (2021),Rank change from 2021,SchoolDigger Rating (2022)
"57
",Hayden School District No. Re 1,"PK, KG-12",1,1,1,0,Hayden,Routt County,0.405,,(n/a),
"58
",School District No. Re-50 Wiggins,"PK, KG-12",1,1,1,0,Wiggins,Morgan County,0.404,44,14,
"59
",Lamar School District No. Re-2,"PK, KG-12",4,1,1,0,Lamar,Prowers County,0.4,62,3,
"60
",Walsh School District No. Re-1,"PK, KG-12",1,0,1,0,Walsh,Baca County,0.395,,(n/a),
"61
",Roaring Fork School District No. Re-1,"PK, KG-12",6,3,4,0,Glenwood Springs,Garfield County,0.393,38,23,
"62
",School District No. 1,"PK, KG-12",114,33,56,2,Denver,Denver County,0.392,28,34,
"63
",Montezuma-Cortez School District No. Re-1,"PK, KG-12",8,1,2,0,Cortez,Montezuma County,0.39,,(n/a),
"64
",Deer Trail School District No. 26J,"PK, KG-12",1,0,1,0,Deer Trail,Arapahoe County,0.388,,(n/a),
"65
",Colorado Springs School District No. 11,"PK, KG-12",36,9,11,0,Colorado Springs,El Paso County,0.387,47,18,
"66
",Englewood School District No. 1,"PK, KG-12",5,2,2,0,Englewood,Arapahoe County,0.382,,(n/a),
"67
",Custer County School District Consolidate 1,"PK, KG-12",1,1,1,0,Westcliffe,Custer County,0.381,54,13,
"68
",School District 27J,"PK, KG-12",17,5,5,1,Brighton,Adams County,0.381,60,8,
"69
",Estes Park School District R-3,"PK, KG-12",1,1,1,1,Estes Park,Larimer County,0.372,51,18,
"70
",Weld County School District Re-3j,"PK, KG-12",5,1,1,0,Hudson,Weld County,0.371,63,7,
"71
",Strasburg School District 31J,"PK, KG-12",1,1,2,0,Strasburg,Adams County,0.369,52,19,
"72
",Harrison School District No. 2,"PK, KG-12",16,5,5,1,Colorado Springs,El Paso County,0.362,67,5,
"73
",Weld County School District No. Re-5J,"PK, KG-12",4,1,1,0,Milliken,Weld County,0.355,71,2,
"74
",Yuma 1 School District,"PK, KG-12",2,1,1,0,Yuma,Yuma County,0.354,69,5,
"75
",Sargent School District No. Re-33J,"PK, KG-12",1,1,1,0,Monte Vista,Rio Grande County,0.353,53,22,
"76
",Weld County Reorganized School District No. Re-1,"PK, KG-12",3,2,1,0,Gilcrest,Weld County,0.346,66,10,
"77
",Dolores School District No. Re-4A,"PK, KG-12",2,0,1,0,Dolores,Montezuma County,0.34,,(n/a),
"78
",Moffat County School District RE: No. 1,"PK, KG-12",5,1,1,0,Craig,Moffat County,0.339,59,19,
"79
",Fountain School District No. 8,"PK, KG-12",9,2,2,0,Fountain,El Paso County,0.334,48,31,
"80
",Bayfield School District No. 10Jt-R,"PK, KG-12",2,1,1,0,Bayfield,La Plata County,0.319,64,16,
"81
",Miami-Yoder Joint District No. 60,"PK, KG-12",1,0,1,0,Rush,El Paso County,0.315,23,58,
"82
",Rangely School District RE4,"PK, KG-12",1,0,1,0,Rangely,Rio Blanco County,0.314,,(n/a),
"83
",Ellicott School District No. 22,"PK, KG-12",1,1,1,0,Calhan,El Paso County,0.313,61,22,
"84
",Fremont Re-2,"PK, KG-12",2,0,1,0,Florence,Fremont County,0.294,57,27,
"85
",Garfield School District No. Re-2,"PK, KG-12",6,2,2,0,Rifle,Garfield County,0.283,68,17,
"86
",Burlington Public School District No. Re-6j,"PK, KG-12",1,1,1,0,Burlington,Kit Carson County,0.282,,(n/a),
"87
",GreeleySchool District No. 6,"PK, KG-12",20,4,7,2,Greeley,Weld County,0.27,72,15,
"88
",Upper Rio Grande School District C-7,"PK, KG-12",1,0,1,0,Del Norte,Rio Grande County,0.268,75,13,
"89
",Granada School District No. Re-1,"PK, KG-12",1,0,1,0,Granada,Prowers County,0.26,,(n/a),
"90
",Westminster Public Schools,"PK, KG-12",16,2,2,0,Westminster,Adams County,0.246,,(n/a),
"91
",Education Reenvisioned BOCES,K-12,1,1,2,1,Monument,El Paso County,0.246,,(n/a),
"92
",Trinidad School District 1,"PK, KG-12",1,1,1,0,Trinidad,Las Animas County,0.232,,(n/a),
"93
",Ignacio School District No. 11Jt,"PK, KG-12",1,1,1,0,Ignacio,La Plata County,0.219,77,16,
"94
",Weld County School District No. Re-9,"PK, KG-12",1,1,1,0,Ault,Weld County,0.217,,(n/a),
"95
",Pueblo School District No. 60,"PK, KG-12",23,5,5,2,Pueblo,Pueblo County,0.208,70,25,
"96
",Aurora Joint District No. 28,"PK, KG-12",46,7,7,4,Aurora,Arapahoe County,0.206,73,23,
"97
",Mapleton School District No. 1,"PK, KG-12",11,1,6,2,Denver,Adams County,0.195,74,23,
"98
",Crowley County School District No. Re-1-J,"PK, KG-12",1,0,1,0,Ordway,Crowley County,0.186,56,42,
"99
",School District No. Re-3 Fort Morgan,"PK, KG-12",5,1,2,0,Fort Morgan,Morgan County,0.154,,(n/a),
"100
",Cripple Creek-Victor School District No. Re-1,"PK, KG-12",1,0,1,0,Cripple Creek,Teller County,0.152,,(n/a),
"101
",Grand Valley School District No. 16,"PK, KG-12",2,1,1,0,Parachute,Garfield County,0.091,76,25,
"102
",School District N. 14,"PK, KG-12",9,2,2,0,Commerce City,Adams County,0.04,,(n/a),
"103
",Agate School District No. 300,"PK, KG-12",1,0,1,0,Agate,Elbert County,,,(n/a),
"103
",Aguilar Reorganized School District No. 6,"PK, KG-12",1,0,1,0,Aguilar,Las Animas County,,,(n/a),
"103
",Alamosa School District No. Re-11J,"PK, KG-12",2,1,1,1,Alamosa,Alamosa County,,,(n/a),
"103
",Archuleta County School District No. 50 Jt,"PK, KG-12",2,1,2,0,Pagosa Springs,Archuleta County,,,(n/a),
"103
",Arickaree School District No. R-2,"PK, KG-12",1,0,1,0,Anton,Washington County,,,(n/a),
"103
",Arriba-Flagler Consolidated School District No. 20,"PK, KG-12",0,0,0,1,Flagler,Kit Carson County,,,(n/a),
"103
",Aspen School District No. 1,"PK, KG-12",3,1,1,0,Aspen,Pitkin County,,,(n/a),
"103
",Bennett School District No. 29J,"PK, KG-12",2,2,1,0,Bennett,Adams County,,,(n/a),
"103
",Bethune School District No. R- 5,"PK, KG-12",0,0,0,1,Bethune,Kit Carson County,,,(n/a),
"103
",Branson Reorganized School District No. 82,"PK, KG-12",0,0,0,2,Branson,Las Animas County,,,(n/a),
"103
",Buena Vista School District No. R-31,"PK, KG-12",2,1,2,0,Buena Vista,Chaffee County,,,(n/a),
"103
",Byers School District No. 32J,"PK, KG-12",3,3,4,0,Byers,Arapahoe County,,,(n/a),
"103
",Campo School District No. Re-6,"PK, KG-12",1,0,1,0,Campo,Baca County,,,(n/a),
"103
",Centennial BOCES,44846,0,0,2,0,Greeley,Weld County,,,(n/a),
"103
",Centennial School District No. R-1,"PK, KG-12",0,0,0,1,San Luis,Costilla County,,,(n/a),
"103
",Center Consolidated School District No. 26 Jt.,"PK, KG-12",1,1,3,0,Center,Saguache County,,,(n/a),
"103
",Cheraw School District No. 31,"PK, KG-12",0,0,0,1,Cheraw,Otero County,,,(n/a),
"103
",Cheyenne County School District No. Re-5,"PK, KG-12",1,0,1,0,Cheyenne Wells,Cheyenne County,,,(n/a),
"103
",Colorado River BOCES,44724,0,0,1,0,Parachute,Garfield County,,,(n/a),
"103
",Colorado School for the Deaf and Blind,"PK, KG-12",0,0,0,1,Colorado Springs,El Paso County,,,(n/a),
"103
",Creede School District,"PK, KG-12",0,0,0,1,Creede,Mineral County,,,(n/a),
"103
",De Beque Joint District No. 49,"PK, KG-12",0,0,0,1,De Beque,Mesa County,,,(n/a),
"103
",Denver 1,K-12,0,0,0,1,Denver,Denver County,,,(n/a),
"103
",Division of Youth Services,44693,0,0,6,0,Denver,Denver County,,,(n/a),
"103
",Dolores County School District Re-2j,"PK, KG-12",1,0,1,0,Dove Creek,Dolores County,,,(n/a),
"103
",East Otero School District No. R1,"PK, KG-12",2,0,2,0,La Junta,Otero County,,,(n/a),
"103
",Edison Joint District No. 54,"PK, KG-12",1,0,2,0,Yoder,El Paso County,,,(n/a),
"103
",Elbert School District No. 200,"PK, KG-12",1,0,1,0,Elbert,Elbert County,,,(n/a),
"103
",Fremont Re-3,"PK, KG-12",1,0,1,0,Cotopaxi,Fremont County,,,(n/a),
"103
",Genoa-Hugo School District No. C-113,"PK, KG-12",0,0,0,1,Hugo,Lincoln County,,,(n/a),
"103
",Hanover School District No. 28,"PK, KG-12",1,0,2,0,Colorado Springs,El Paso County,,,(n/a),
"103
",High-Plains R-23,"PK, KG-12",0,0,0,1,Seibert,Kit Carson County,,,(n/a),
"103
",Hinsdale County School District No. Re-1,"PK, KG-12",0,0,0,1,Lake City,Hinsdale County,,,(n/a),
"103
",Hoehne Reorganized School District No. 3,"PK, KG-12",0,0,0,1,Trinidad,Las Animas County,,,(n/a),
"103
",Holly School District No. Re-3,"PK, KG-12",0,0,0,1,Holly,Prowers County,,,(n/a),
"103
",Holyoke School District No. Re-1J,"PK, KG-12",1,0,2,0,Holyoke,Phillips County,,,(n/a),
"103
",Huerfano School District Re-1,"PK, KG-12",2,0,1,0,Walsenburg,Huerfano County,,,(n/a),
"103
",Idalia Rj-3 School District,"PK, KG-12",1,0,1,0,Idalia,Yuma County,,,(n/a),
"103
",Julesburg School District No. Re1,"PK, KG-12",1,0,2,0,Julesburg,Sedgwick County,,,(n/a),
"103
",Karval School District No. Re 23,"PK, KG-12",1,0,1,0,Karval,Lincoln County,,,(n/a),
"103
",Kim Reorganized School District No. 88,"PK, KG-12",1,0,1,0,Kim,Las Animas County,,,(n/a),
"103
",Kiowa County School District No. Re-1,"PK, KG-12",1,1,1,0,Eads,Kiowa County,,,(n/a),
"103
",Kiowa County School District No. Re-2,"PK, KG-12",1,0,1,0,Sheridan Lake,Kiowa County,,,(n/a),
"103
",Kit Carson School District No. R-1,"PK, KG-12",1,0,1,0,Kit Carson,Cheyenne County,,,(n/a),
"103
",La Veta School District Re-2,"PK, KG-12",1,0,1,0,La Veta,Huerfano County,,,(n/a),
"103
",Lake County School District No. R-1,"PK, KG-12",3,0,2,0,Leadville,Lake County,,,(n/a),
"103
",Las Animas School District No. Re-1,"PK, KG-12",2,1,3,0,Las Animas,Bent County,,,(n/a),
"103
",Liberty J-4 School District,"PK, KG-12",0,0,0,1,Joes,Yuma County,,,(n/a),
"103
",Lone Star School District No. 101,K-12,1,1,1,0,Otis,Washington County,,,(n/a),
"103
",Mancos School District Re-6,"PK, KG-12",2,1,1,0,Mancos,Montezuma County,,,(n/a),
"103
",Manzanola Joint District No. 3J,"PK, KG-12",1,0,1,0,Manzanola,Otero County,,,(n/a),
"103
",Moffat School District No. 2,"PK, KG-12",0,0,0,2,Moffat,Saguache County,,,(n/a),
"103
",Monte Vista School District No. C-8,"PK, KG-12",2,1,2,1,Monte Vista,Rio Grande County,,,(n/a),
"103
",Mountain Valley School District No. Re 1,"PK, KG-12",0,0,0,1,Saguache,Saguache County,,,(n/a),
"103
",North Park School District R-1,"PK, KG-12",0,0,0,1,Walden,Jackson County,,,(n/a),
"103
",Norwood School District No. R-2j,"PK, KG-12",0,0,0,1,Norwood,San Miguel County,,,(n/a),
"103
",Otis School District No. R-3,"PK, KG-12",1,0,1,0,Otis,Washington County,,,(n/a),
"103
",Ouray School District No. R-1,"PK, KG-12",1,1,1,0,Ouray,Ouray County,,,(n/a),
"103
",Park County School District No. Re-2,"PK, KG-12",3,1,1,0,Fairplay,Park County,,,(n/a),
"103
",Peyton School District No. 23,"PK, KG-12",1,1,2,1,Peyton,El Paso County,,,(n/a),
"103
",Primero Reorganized School District No. 2,"PK, KG-12",1,0,1,0,Weston,Las Animas County,,,(n/a),
"103
",Pritchett School District No. Re-3,"PK, KG-12",1,1,1,0,Pritchett,Baca County,,,(n/a),
"103
",Revere School District,"PK, KG-12",1,0,1,0,Ovid,Sedgwick County,,,(n/a),
"103
",Rocky Ford School District No. R2,"PK, KG-12",2,0,1,0,Rocky Ford,Otero County,,,(n/a),
"103
",Salida School District No. R-32,"PK, KG-12",2,2,2,0,Salida,Chaffee County,,,(n/a),
"103
",San Juan boces,44724,0,0,1,0,Durango,La Plata County,,,(n/a),
"103
",School District No. R-4,"PK, KG-12",1,1,1,0,Stratton,Kit Carson County,,,(n/a),
"103
",School District No. Re-1 Valley,"PK, KG-12",4,1,2,0,Sterling,Logan County,,,(n/a),
"103
",School District No. Re-10,"PK, KG-12",1,0,1,0,Briggsdale,Weld County,,,(n/a),
"103
",School District No. Re-11,"PK, KG-12",1,0,1,0,New Raymer,Weld County,,,(n/a),
"103
",School District No. Re-12,"PK, KG-12",0,0,0,1,Grover,Weld County,,,(n/a),
"103
",School District No. Re-2 Brush,"PK, KG-12",2,1,1,0,Brush,Morgan County,,,(n/a),
"103
",School District No. Re-20 Weldon Valley,"PK, KG-12",1,0,1,0,Weldona,Morgan County,,,(n/a),
"103
",School District No. Re-5 Plateau,"PK, KG-12",1,0,1,0,Peetz,Logan County,,,(n/a),
"103
",Sheridan School District No. 2,"PK, KG-12",2,1,2,0,Englewood,Arapahoe County,,,(n/a),
"103
",Sierra Grande School District No. R-30,"PK, KG-12",0,0,0,1,Blanca,Costilla County,,,(n/a),
"103
",Silverton School District No. 1,"PK, KG-12",1,1,1,0,Silverton,San Juan County,,,(n/a),
"103
",South Conejos School District No. Re10,"PK, KG-12",1,1,1,0,Antonito,Conejos County,,,(n/a),
"103
",Steamboat Springs School District No. Re 2,"PK, KG-12",4,1,2,0,Steamboat Springs,Routt County,,,(n/a),
"103
",Vilas School District Re-5,"PK, KG-12",1,0,1,0,Vilas,Baca County,,,(n/a),
"103
",Weld County School District No. Re-2,"PK, KG-12",3,1,1,0,Eaton,Weld County,,,(n/a),
"103
",West End School District No. Re-2,"PK, KG-12",1,1,1,1,Nucla,Montrose County,,,(n/a),
"103
",West Grand School District No. 1,"PK, KG-12",1,0,1,0,Kremmling,Grand County,,,(n/a),
"103
",Woodlin School District No. R-104,"PK, KG-12",1,0,1,0,Woodrow,Washington County,,,(n/a),
