zip,type,decommissioned,primary_city,acceptable_cities,unacceptable_cities,state,county,timezone,area_codes,world_region,country,latitude,longitude,irs_estimated_population
81626,PO BOX,0,Craig,,,CO,Moffat County,America/Denver,970,NA,US,40.52,-107.55,1653
81630,STANDARD,0,De Beque,,,CO,Mesa County,America/Denver,970,NA,US,39.33,-108.21,900
81631,PO BOX,0,Eagle,,,CO,Eagle County,America/Denver,970,NA,US,39.65,-106.82,6643
81632,STANDARD,0,Edwards,Cordillera,,CO,Eagle County,America/Denver,970,NA,US,39.65,-106.6,8110
81633,STANDARD,0,Dinosaur,Elk Springs,,CO,Moffat County,America/Denver,970,NA,US,40.34,-108.43,0
81635,STANDARD,0,Parachute,"Battlement Mesa, Btlmt Mesa","Grand Valley, Rulison",CO,Garfield County,America/Denver,970,NA,US,39.44,-108.05,6280
81636,PO BOX,0,Battlement Mesa,"Btlmt Mesa, Parachute",,CO,Garfield County,America/Denver,970,NA,US,39.44,-108.02,87
81637,STANDARD,0,Gypsum,,"Dotsero, Sweetwater",CO,Eagle County,America/Denver,970,NA,US,39.64,-106.94,7630
81638,STANDARD,0,Hamilton,,Pagoda,CO,Moffat County,America/Denver,,NA,US,40.37,-107.6,132
81639,STANDARD,0,Hayden,,,CO,Routt County,America/Denver,970,NA,US,40.48,-107.26,2120
81640,STANDARD,0,Maybell,,"Browns Park, Greystone",CO,Moffat County,America/Denver,970,NA,US,40.67,-108.51,200
81641,STANDARD,0,Meeker,,"Axel, Buford",CO,Rio Blanco County,America/Denver,970,NA,US,40.05,-107.89,3360
81642,STANDARD,0,Meredith,,"Nast, Norrie",CO,Pitkin County,America/Denver,970,NA,US,39.27,-106.59,45
81643,PO BOX,0,Mesa,,,CO,Mesa County,America/Denver,970,NA,US,39.17,-108.13,695
81645,PO BOX,0,Minturn,Gilman,,CO,Eagle County,America/Denver,970,NA,US,39.58,-106.42,1097
81646,PO BOX,0,Molina,,,CO,Mesa County,America/Denver,970,NA,US,39.18,-108.07,180
81647,STANDARD,0,New Castle,,,CO,Garfield County,America/Denver,970,NA,US,39.58,-107.53,6710
81648,STANDARD,0,Rangely,,,CO,Rio Blanco County,America/Denver,970,NA,US,40.08,-108.77,2100
81649,PO BOX,0,Red Cliff,,,CO,Eagle County,America/Denver,970,NA,US,39.5,-106.36,226
81650,STANDARD,0,Rifle,,"Antlers, Rio Blanco, Rulison",CO,Garfield County,America/Denver,970,NA,US,39.53,-107.77,12560
81652,STANDARD,0,Silt,,,CO,Garfield County,America/Denver,970,NA,US,39.54,-107.65,5290
81653,STANDARD,0,Slater,,,CO,Moffat County,America/Denver,970,NA,US,40.99,-107.37,16
81654,STANDARD,0,Snowmass,,Old Snowmass,CO,Pitkin County,America/Denver,970,NA,US,39.33,-106.98,1020
81655,PO BOX,0,Wolcott,,,CO,Eagle County,America/Denver,970,NA,US,39.78,-106.46,304
81656,PO BOX,0,Woody Creek,,,CO,Pitkin County,America/Denver,970,NA,US,39.28,-106.9,419
81657,STANDARD,0,Vail,,"East Vail, West Vail",CO,Eagle County,America/Denver,970,NA,US,39.64,-106.39,4010
81658,PO BOX,0,Vail,,,CO,Eagle County,America/Denver,970,NA,US,39.64,-106.39,4276
